id	partner_id	acciones	ncontractes	npolizas_pagador	npolizas_titular	npolizas_socio	consumannual	maxconsumannual	polizas	tarifas	bool
16684	30765	5	2	2	0	0	4068	3568	42304,42312	2.0A,2.0A	True
16687	30773	20	1	1	0	0	2880	2880	42676	2.0A	True
16693	30785	20	1	1	0	0	2800	2800	42684	2.0A	True
16711	30819	10	2	2	0	0	5280	2880	42628,42626	2.0A,2.0A	True
16721	30848	15	1	1	0	0	3888	3888	43116	2.0A	True
16776	30975	6	2	1	0	1	5411	4116	42794,71151	2.0DHA,2.0A	True
16789	30993	7	1	1	0	0	2086	2086	42696	2.0A	True
16810	31041	5	3	1	0	2	8640	3840	70638,43315,70636	2.0A,2.0DHA,2.0A	True
16824	31085	2	1	0	0	1	4500	4500	42844	2.0A	True
16827	31090	7	2	1	0	1	4200	2400	43086,42846	2.0A,2.0A	True
16859	31170	2	1	1	0	0	2565	2565	43001	2.0A	True
16861	31172	15	5	1	0	4	16860	4500	43003,66635,54276,62408,60033	2.0A,2.0A,2.0A,2.0DHA,2.0A	True
16868	31186	1	2	2	0	0	7017	5291	43011,43023	2.0DHA,2.0A	True
16871	31191	10	2	2	0	0	4200	2400	43144,43148	2.0A,2.0A	True
16877	31208	9	1	1	0	0	3300	3300	43049	2.0A	True
16903	31256	6	1	1	0	0	1913	1913	43333	2.0A	True
16930	31326	5	1	1	0	0	1500	1500	45716	2.0A	True
16932	31328	11	2	1	0	1	5055	2807	44200,59066	2.0A,2.0A	True
16936	31335	2	1	1	0	0	1387	1387	43309	2.0A	True
16949	31356	4	1	1	0	0	1023	1023	43409	2.0A	True
16964	31390	6	2	2	0	0	3650	2400	67149,43367	2.0A,2.0A	True
16971	31401	10	1	1	0	0	1116	1116	43385	2.0A	True
16979	31413	9	3	2	0	1	4020	2094	60510,43419,52092	2.0A,2.0A,2.0A	True
17004	31469	8	1	1	0	0	4722	4722	43501	2.0A	True
17016	31501	10	6	3	0	3	8042	2880	63555,51737,44569,58572,46503,64312	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A	True
17026	31520	6	2	1	0	1	3113	1656	49034,48881	2.0A,2.0A	True
17038	31541	1	1	0	0	1	3840	3840	51206	2.0A	True
17071	31628	8	1	1	0	0	1900	1900	51840	2.0A	True
17080	31649	15	1	1	0	0	5014	5014	43782	2.0DHA	True
17087	31662	5	2	1	0	1	4700	3500	44097,52710	2.0A,2.0A	True
17088	31663	28	0	0	0	0	None	None	None	None	True
17108	31712	25	3	2	1	0	7080	3840	57039,57035,57037	2.0A,2.0A,2.0A	True
17113	31722	8	1	1	0	0	1858	1858	55385	2.0A	True
17145	31807	10	6	1	1	4	47400	14400	68996,44212,72383,66100,44202,45856	3.0A,2.0A,3.0A,2.0A,2.0A,2.0A	True
17168	31873	6	1	1	0	0	2400	2400	44089	2.0A	True
17178	31896	2	1	1	0	0	600	600	54441	2.0A	True
17206	31969	6	3	1	0	2	6671	2880	44272,52227,45373	2.0A,2.0A,2.0DHA	True
17239	32078	3	1	1	0	0	2400	2400	44575	2.0A	True
17246	32102	3	2	2	0	0	12400	10000	44391,44397	2.1DHA,2.0A	True
17260	32128	40	1	1	0	0	10081	10081	48727	2.0DHA	True
17262	32132	10	2	2	0	0	3419	2464	50869,44471	2.0A,2.0A	True
17263	32135	8	2	1	0	1	4654	3187	44748,52503	2.0A,2.0A	True
17298	32222	6	1	1	0	0	2068	2068	44626	2.0A	True
17310	32242	4	1	1	0	0	900	900	44646	2.0A	True
17313	32249	30	1	1	0	0	10075	10075	44668	2.0DHS	True
17332	32293	3	1	1	0	0	3840	3840	44731	2.0A	True
17340	32309	40	1	1	0	0	6113	6113	45121	2.0A	True
17344	32319	17	1	1	0	0	3500	3500	44782	2.0A	True
17359	32358	5	2	1	0	1	8840	5000	59082,44840	2.0A,2.0DHA	True
17361	32362	4	1	1	0	0	3	3	44848	2.0A	True
17362	32363	9	1	1	0	0	2400	2400	50201	2.0A	True
17365	32371	13	1	1	0	0	4091	4091	44852	2.0A	True
17371	32387	2	2	1	0	1	4200	2400	45545,72253	2.0A,2.0A	True
17373	32395	8	1	1	0	0	1500	1500	44892	2.0A	True
17380	32418	6	1	1	0	0	1800	1800	44914	2.0A	True
17385	32426	3	1	1	0	0	2000	2000	44946	2.0A	True
17391	32453	2	1	1	0	0	880	880	44966	2.0A	True
17415	32545	5	1	1	0	0	1436	1436	45113	2.0A	True
17421	32559	1	3	1	0	2	7200	2400	48274,46223,47334	2.0A,2.0A,2.0A	True
17452	32653	1	0	0	0	0	None	None	None	None	True
17465	32693	9	1	1	0	0	2400	2400	45325	2.0A	True
17476	32751	17	1	1	0	0	4000	4000	47876	2.0DHA	True
17481	32772	14	1	1	0	0	2900	2900	45441	2.0A	True
17502	32834	4	1	1	0	0	854	854	52274	2.0A	True
17528	32912	8	1	1	0	0	2000	2000	45655	2.0DHA	True
17531	32919	3	1	1	0	0	799	799	45702	2.0A	True
17532	32922	15	2	0	2	0	14880	12000	45653,50606	2.0A,2.0A	True
17545	32962	3	1	1	0	0	923	923	45710	2.0A	True
17579	33029	3	1	1	0	0	1054	1054	45814	2.0A	True
17626	33146	1	1	1	0	0	4122	4122	47074	2.0A	True
17631	33154	7	1	1	0	0	1752	1752	45974	2.0DHA	True
17632	33156	7	4	2	0	2	7200	2400	45996,54638,45994,49897	2.0A,2.0A,2.0A,2.0A	True
17639	33171	7	1	1	0	0	1183	1183	45998	2.0A	True
17668	33264	8	1	1	0	0	1999	1999	46121	2.0A	True
17696	33342	5	1	1	0	0	2400	2400	46245	2.0A	True
17726	33417	12	3	2	0	1	3732	2440	46671,46669,64973	2.0A,2.0A,2.0A	True
17821	33700	21	2	2	0	0	7800	6000	47302,47538	2.0DHA,2.0DHA	True
17841	33763	15	2	2	0	0	2352	1352	46920,49850	2.1DHA,2.0A	True
17848	33778	9	1	1	0	0	2880	2880	46868	2.0DHA	True
17859	33828	9	5	1	0	4	6280	2500	54004,48795,54002,53996,54000	2.0A,2.0A,2.0A,2.0A,2.0A	True
17871	33852	4	1	1	0	0	1800	1800	50265	2.0A	True
17877	33878	5	1	1	0	0	1300	1300	46990	2.0A	True
17887	33894	1	2	1	0	1	751	397	48408,47032	2.0A,2.0DHA	True
17905	33929	6	1	1	0	0	1388	1388	47098	2.0A	True
17906	33931	1	2	1	0	1	1985	1615	48378,51763	2.0A,2.0A	True
17913	33948	20	4	2	0	2	9960	2880	47128,47130,47134,47132	2.0DHA,2.0A,2.0A,2.0A	True
17924	33981	10	1	1	0	0	2500	2500	47184	2.0A	True
17960	34073	1	1	1	0	0	2500	2500	47306	2.0A	True
17991	34165	1	1	1	0	0	305	305	48146	2.0A	True
17999	34181	4	1	1	0	0	2400	2400	47454	2.0DHA	True
18033	34272	15	1	1	0	0	2880	2880	48476	2.0DHA	True
18043	34285	9	1	1	0	0	2400	2400	47623	2.0A	True
18090	34434	10	1	1	0	0	2930	2930	47923	2.0A	True
18094	34447	7	1	1	0	0	1800	1800	47836	2.0A	True
18125	34517	7	1	1	0	0	1800	1800	47971	2.0A	True
18158	34623	8	1	1	0	0	1900	1900	48595	2.0A	True
18159	34624	8	1	1	0	0	2157	2157	48116	2.0A	True
18167	34650	7	1	1	0	0	2400	2400	51312	2.0A	True
18170	34656	3	3	3	0	0	6000	2400	66569,63723,48233	2.0A,2.0A,2.0A	True
18235	34834	2	1	1	0	0	2400	2400	57630	2.0DHA	True
18240	34843	5	2	2	0	0	4800	2400	66562,48478	2.0A,2.0A	True
18306	35019	4	1	1	0	0	1800	1800	49110	2.0A	True
18307	35020	9	1	1	0	0	2400	2400	48733	2.0A	True
18322	35067	1	1	1	0	0	1800	1800	48765	2.0A	True
18348	35117	5	2	1	0	1	19900	18000	52000,48837	3.0A,2.0A	True
18374	35204	10	1	0	1	0	2400	2400	48946	2.0A	True
18385	35233	6	1	1	0	0	1578	1578	48986	2.0A	True
18410	35298	7	1	1	0	0	1580	1580	49128	2.0A	True
18424	35320	10	1	0	0	1	2000	2000	49221	2.0A	True
18434	35343	5	1	1	0	0	139	139	49182	2.0A	True
18455	35389	1	0	0	0	0	None	None	None	None	True
18495	35547	14	2	2	0	0	6000	4200	49473,66669	2.0A,2.0A	True
18497	35553	8	1	1	0	0	2400	2400	49477	2.0A	True
18515	35595	10	1	1	0	0	1500	1500	55535	2.0A	True
18541	35655	15	1	1	0	0	691	691	49818	2.0A	True
18568	35719	1	1	1	0	0	1800	1800	49989	2.0DHA	True
18621	35842	10	1	1	0	0	2400	2400	49965	2.0A	True
18655	35918	1	1	0	0	1	5280	5280	56856	2.0DHA	True
18676	35958	10	1	1	0	0	2433	2433	50165	2.0A	True
18679	35977	4	13	1	0	12	25923	3840	55982,50191,66111,66078,61935,66127,66538,66139,66080,55978,55980,66485,70827	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A	True
18736	36100	1	2	1	0	1	2300	1800	50379,67953	2.0A,2.0A	True
18749	36127	5	1	1	0	0	976	976	50441	2.0DHA	True
18760	36159	6	1	1	0	0	1653	1653	50487	2.0A	True
18770	36199	19	2	2	0	0	4680	2880	50546,50550	2.0A,2.0A	True
18779	36231	6	1	1	0	0	1618	1618	50618	2.0DHA	True
18783	36237	15	2	2	0	0	4300	2500	54006,50614	2.0A,2.0A	True
18786	36244	20	3	2	1	0	6600	2400	53060,50636,50948	2.0A,2.0A,2.0A	True
18808	36316	4	1	1	0	0	2000	2000	50739	2.0A	True
18820	36346	2	1	1	0	0	1800	1800	54252	2.0A	True
18850	36429	8	1	0	0	1	1800	1800	50969	2.0A	True
18852	36435	5	1	1	0	0	1390	1390	50938	2.0A	True
18861	36448	16	1	1	0	0	4100	4100	50951	2.0DHA	True
18873	36477	12	1	1	0	0	12000	12000	51015	2.1DHA	True
18891	36525	4	1	1	0	0	2697	2697	51059	2.0A	True
18911	36580	20	2	1	0	1	4200	2400	53766,56507	2.0A,2.0A	True
18919	36606	10	3	1	0	2	8640	3840	51202,56019,58369	2.0DHA,2.0DHA,2.0A	True
18921	36610	7	2	1	0	1	3662	1862	72343,51214	2.0A,2.0A	True
18924	36613	2	1	1	0	0	600	600	51556	2.0A	True
18933	36645	10	2	2	0	0	3328	2400	51247,51249	2.0A,2.0A	True
18941	36665	10	1	1	0	0	1650	1650	51286	2.0A	True
18949	36677	30	6	3	0	3	13000	4500	66552,69272,54584,68966,54125,60303	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A	True
18954	36682	10	1	1	0	0	1800	1800	57470	2.0A	True
18989	36738	10	1	1	0	0	3840	3840	51388	2.0DHA	True
18991	36744	1	2	2	0	0	1763	1291	51404,51406	2.0DHA,2.0DHA	True
19015	36820	5	1	1	0	0	1300	1300	51502	2.0DHA	True
19059	36943	10	1	1	0	0	5248	5248	51699	2.0A	True
19064	36980	10	2	1	0	1	8160	5280	51749,67331	2.0A,2.0A	True
19087	37035	25	2	2	0	0	8023	4023	51844,51838	2.0A,2.0DHA	True
19113	37088	1	1	1	0	0	2400	2400	51914	2.0A	True
19120	37106	10	1	0	0	1	2750	2750	52760	2.0A	True
19140	37156	25	1	1	0	0	4280	4280	52108	2.0A	True
19166	37203	7	1	0	1	0	2100	2100	52064	2.0DHA	True
19192	37274	3	2	2	0	0	1327	746	67990,53380	2.0DHA,2.0DHA	True
19200	37290	5	1	1	0	0	2600	2600	52218	2.0A	True
19228	37347	3	3	2	0	1	6057	2894	65523,52278,69545	2.0A,2.0A,2.0A	True
19261	37435	7	1	1	0	0	1800	1800	52722	2.0DHA	True
19286	37493	11	1	1	0	0	1952	1952	52501	2.0DHA	True
19287	37498	3	1	1	0	0	2400	2400	52513	2.0A	True
19349	37641	4	1	1	0	0	1800	1800	59134	2.0A	True
19378	37705	2	1	1	0	0	2400	2400	52892	2.0A	True
19380	37707	5	1	1	0	0	8139	8139	52829	2.0A	True
19382	37715	5	1	1	0	0	2880	2880	54532	2.0A	True
19414	37778	8	2	2	0	0	2302	1711	54807,53365	2.0A,2.0A	True
19422	37792	15	1	1	0	0	2880	2880	53084	2.0A	True
19456	37864	10	2	1	0	1	4680	2880	61179,53260	2.0A,2.0A	True
19462	37880	10	1	1	0	0	5500	5500	53133	2.0A	True
19464	37886	5	2	1	1	0	3617	2400	56371,53111	2.0A,2.0A	True
19495	37945	11	1	1	0	0	3300	3300	53372	2.0A	True
19496	37946	10	3	3	0	0	4315	2390	53211,53207,53209	2.0A,2.0A,2.0A	True
19509	37973	20	1	1	0	0	5280	5280	53326	2.0DHA	True
19535	38020	3	1	1	0	0	569	569	53394	2.0A	True
19557	38076	1	1	1	0	0	409	409	53444	2.0A	True
19588	38124	10	2	1	0	1	4155	2355	55994,61545	2.0A,2.0A	True
19590	38126	37	3	3	0	0	9120	3840	53522,53524,53520	2.0A,2.0A,2.0A	True
19595	38141	5	2	2	0	0	4200	2400	53549,71886	2.0A,2.0A	True
19600	38154	10	2	0	0	2	2458	1438	56674,70081	2.0A,2.0A	True
19613	38183	6	1	1	0	0	1991	1991	53731	2.0DHA	True
19623	38196	10	1	1	0	0	2400	2400	53615	2.0DHA	True
19657	38273	5	2	1	0	1	4044	2650	53737,66611	2.0DHA,2.0A	True
19681	38352	4	1	1	0	0	1800	1800	53840	2.0A	True
19683	38360	5	1	1	0	0	1296	1296	54153	2.0A	True
19694	38390	2	1	0	0	1	1000	1000	53958	2.0A	True
19697	38399	1	1	1	0	0	3840	3840	53918	2.0DHA	True
19711	38430	1	1	1	0	0	957	957	53964	2.0A	True
19720	38450	5	1	1	0	0	1435	1435	53988	2.0A	True
19734	38471	3	1	1	0	0	2165	2165	54032	2.0A	True
19757	38519	20	1	1	0	0	5374	5374	54137	2.0A	True
19767	38557	20	1	1	0	0	4500	4500	54189	2.0DHA	True
19800	38620	10	1	1	0	0	2400	2400	54292	2.0A	True
19809	38642	1	1	1	0	0	469	469	54330	2.0A	True
19842	38711	8	1	1	0	0	1800	1800	54524	2.0A	True
19859	38741	12	1	1	0	0	2880	2880	54526	2.0DHA	True
19892	38809	13	1	1	0	0	12000	12000	54724	2.0A	True
19900	38825	27	2	2	0	0	6567	6000	55019,55023	2.0A,2.0A	True
19920	38860	3	1	0	0	1	1500	1500	56353	2.0DHA	True
19966	38960	3	1	1	0	0	2375	2375	60653	2.0A	True
19996	39033	9	1	1	0	0	2400	2400	54993	2.0DHA	True
20004	39047	5	1	1	0	0	1479	1479	55027	2.0A	True
20005	39050	11	2	2	0	0	4300	2300	55033,55035	2.0A,2.0A	True
20020	39101	3	1	1	0	0	3600	3600	56571	2.0A	True
20031	39126	11	1	1	0	0	2042	2042	55384	2.0A	True
20042	39158	2	1	1	0	0	2546	2546	55306	2.0A	True
20046	39169	12	1	1	0	0	2861	2861	55200	2.0A	True
20067	39246	10	1	1	0	0	2008	2008	55304	2.0A	True
20069	39249	5	1	1	0	0	3840	3840	55599	2.0A	True
20100	39329	20	1	1	0	0	6639	6639	55450	2.0DHA	True
20139	39390	4	1	1	0	0	1800	1800	55549	2.0A	True
20149	39418	20	1	1	0	0	2240	2240	65369	2.0A	True
20152	39427	10	0	0	0	0	None	None	None	None	True
20176	39480	12	1	1	0	0	2400	2400	55678	2.0A	True
20177	39481	4	1	1	0	0	1000	1000	55676	2.0A	True
20189	39507	1	1	1	0	0	3000	3000	55738	2.0A	True
20207	39551	1	1	1	0	0	1400	1400	55788	2.0A	True
20213	39557	3	1	1	0	0	500	500	55800	2.0A	True
20216	39568	10	3	1	0	2	4902	1922	55822,61482,55824	2.0A,2.0DHA,2.0DHA	True
20222	39582	5	0	0	0	0	None	None	None	None	True
20225	39591	1	1	1	0	0	2400	2400	55850	2.0A	True
20231	39603	11	1	1	0	0	3149	3149	56780	2.0A	True
20252	39655	3	1	1	0	0	4507	4507	55948	2.0A	True
20261	39673	12	1	1	0	0	3100	3100	55984	2.0A	True
20291	39732	4	5	2	0	3	9070	2400	67309,72976,67546,66041,69609	2.0A,2.0A,2.0A,2.0A,2.0A	True
20310	39795	9	1	1	0	0	2356	2356	64595	2.0A	True
20341	39856	10	1	1	0	0	9480	9480	24581	2.1DHA	True
20351	39874	9	1	1	0	0	2400	2400	56419	2.0A	True
20352	39876	12	1	1	0	0	2200	2200	56329	2.0A	True
20360	39892	6	2	1	0	1	5420	3170	56365,64324	2.0A,2.0A	True
20385	39948	5	1	1	0	0	3500	3500	56457	2.0A	True
20398	39976	10	1	1	0	0	2168	2168	56893	2.0A	True
20409	40002	2	1	1	0	0	2400	2400	56603	2.0A	True
20414	40019	5	1	1	0	0	908	908	56575	2.0A	True
20471	40155	10	0	0	0	0	None	None	None	None	True
20531	40300	12	2	1	0	1	7602	4500	70717,57027	2.0A,2.0A	True
20572	40371	9	1	1	0	0	2100	2100	57125	2.0A	True
20597	40412	5	1	1	0	0	1307	1307	57265	2.0A	True
20604	40421	10	1	0	0	1	3713	3713	57257	2.0A	True
20627	40464	1	0	0	0	0	None	None	None	None	True
20644	40506	4	1	1	0	0	1800	1800	62338	2.0A	True
20673	40574	6	2	1	0	1	2082	1800	59671,74500	2.0A,2.0A	True
20714	40655	1	0	0	0	0	None	None	None	None	True
20723	40672	10	1	1	0	0	2880	2880	57590	2.0A	True
20739	40703	5	1	0	0	1	3546	3546	63467	2.0A	True
20747	40719	3	1	1	0	0	2400	2400	57682	2.0A	True
20770	40783	25	1	1	0	0	8668	8668	57746	2.0DHA	True
20793	40835	1	1	1	0	0	168	168	58020	2.0A	True
20871	41018	3	1	1	0	0	911	911	58129	2.0A	True
20935	41138	5	1	1	0	0	35000	35000	58392	2.0A	True
20965	41188	15	1	1	0	0	1944	1944	58446	2.1A	True
21046	41408	15	1	1	0	0	2400	2400	61414	2.0A	True
21066	41448	2	1	1	0	0	1800	1800	58828	2.0A	True
21079	41478	3	8	3	0	5	13595	3365	58882,61871,61799,61877,58884,61869,61873,58888	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0DHA	True
21114	41543	15	1	1	0	0	2880	2880	59048	2.0A	True
21122	41556	2	1	1	0	0	4564	4564	59765	2.0A	True
21176	41638	2	0	0	0	0	None	None	None	None	True
21276	41794	12	2	1	0	1	5280	2880	59970,59338	2.0DHA,2.0DHA	True
21286	41818	3	1	1	0	0	1800	1800	60426	2.0A	True
21322	41895	1	2	2	0	0	4000	2500	59497,59505	2.0A,2.0A	True
21362	42009	3	1	0	0	1	2880	2880	59787	2.0A	True
21376	42023	1	2	1	0	1	2288	1800	59854,59850	2.0A,2.0A	True
21396	42071	1	3	3	0	0	5062	2880	65393,59824,59828	2.0A,2.0A,2.0A	True
21438	42153	2	1	1	0	0	2400	2400	59905	2.0A	True
21511	42305	10	2	1	0	1	2214	1464	60193,60408	2.0A,2.0DHA	True
21521	42329	1	1	1	0	0	2400	2400	60205	2.0A	True
21574	42473	1	1	1	0	0	2400	2400	61657	2.0A	True
21624	42613	10	1	1	0	0	2165	2165	60608	2.0A	True
21683	42745	10	1	1	0	0	1962	1962	60820	2.0A	True
21712	42805	10	1	1	0	0	3400	3400	64205	2.0A	True
21786	43034	9	1	1	0	0	2880	2880	61273	2.0A	True
21797	43068	7	1	1	0	0	1800	1800	61284	2.0A	True
21812	43123	10	1	1	0	0	2600	2600	61346	2.0A	True
21820	43146	4	1	1	0	0	2400	2400	61398	2.0A	True
21866	43316	10	1	1	0	0	2588	2588	61614	2.0A	True
21878	43338	9	2	1	0	1	3600	1800	61653,67303	2.0A,2.0A	True
22008	43655	1	1	1	0	0	2120	2120	62102	2.0A	True
22129	43981	2	1	1	0	0	1200	1200	62606	2.0DHA	True
22205	44194	2	1	1	0	0	3902	3902	62930	2.0A	True
22339	44522	1	1	1	0	0	740	740	63415	2.0A	True
22340	44523	10	2	2	0	0	7337	5280	63417,63715	2.0DHA,2.0DHA	True
22412	44716	2	1	1	0	0	4000	4000	63672	2.0A	True
22513	45041	6	1	0	0	1	6116	6116	64123	2.0A	True
22744	45644	10	1	1	0	0	2140	2140	65117	2.0A	True
22799	45782	1	0	0	0	0	None	None	None	None	True
22807	45801	6	1	1	0	0	1500	1500	65236	2.0DHA	True
22950	46147	10	1	1	0	0	2500	2500	65785	2.0A	True
22962	46173	13	1	1	0	0	2400	2400	69047	2.0A	True
23002	46283	5	1	1	0	0	868	868	66257	2.0A	True
23041	46356	12	1	1	0	0	2880	2880	66860	2.0A	True
23206	46830	11	3	0	0	3	4094	3092	67315,67317,66884	2.0DHA,2.0A,2.0DHA	True
23291	47069	14	1	1	0	0	3560	3560	67155	2.0A	True
23297	47119	2	1	1	0	0	3840	3840	67217	2.0A	True
23390	47435	6	1	1	0	0	1800	1800	70306	2.0DHA	True
23483	47725	12	0	0	0	0	None	None	None	None	True
23530	47825	5	1	1	0	0	1800	1800	68217	2.0A	True
23629	48049	8	1	1	0	0	2400	2400	68526	2.0A	True
23669	48177	5	0	0	0	0	None	None	None	None	True
23680	48203	3	0	0	0	0	None	None	None	None	True
23722	48310	1	1	1	0	0	2880	2880	70859	2.0A	True
23853	48668	2	1	1	0	0	2599	2599	69668	2.0A	True
24017	49122	1	1	1	0	0	2880	2880	70264	2.0DHA	True
24107	49370	12	0	0	0	0	None	None	None	None	True
24137	49455	5	1	1	0	0	2880	2880	70694	2.0A	True
24151	49488	9	1	1	0	0	2400	2400	70745	2.0A	True
24182	49575	1	1	1	0	0	2597	2597	70863	2.0A	True
24187	49593	5	2	2	0	0	4055	2400	70930,70936	2.0A,2.0A	True
24308	49933	7	1	1	0	0	1800	1800	71421	2.0A	True
24421	50202	9	1	1	0	0	1800	1800	71931	2.0A	True
24635	50773	20	3	2	0	1	8040	3840	72781,72766,72785	2.0A,2.0A,2.0A	True
24686	50926	5	1	1	0	0	2400	2400	73020	2.0A	True
24904	51537	1	1	1	0	0	1754	1754	73969	2.0A	True
24967	51735	1	1	0	0	1	3840	3840	74312	2.0DHA	True
25130	52137	8	0	0	0	0	None	None	None	None	True
25140	52160	11	1	1	0	0	2173	2173	74992	2.0A	True
25185	52272	10	0	0	0	0	None	None	None	None	True
25241	52406	20	0	0	0	0	None	None	None	None	True
